,Images,Name,Biodata
52,"[[[210 204 209]
  [210 204 209]
  [210 204 209]
  ...
  [157 153 158]
  [157 153 158]
  [157 153 158]]

 [[210 204 209]
  [210 204 209]
  [210 204 209]
  ...
  [157 153 158]
  [157 153 158]
  [157 153 158]]

 [[210 204 209]
  [210 204 209]
  [210 204 209]
  ...
  [157 153 158]
  [157 153 158]
  [157 153 158]]

 ...

 [[ 34  37  35]
  [ 34  37  35]
  [ 34  37  35]
  ...
  [158 157 161]
  [158 157 161]
  [158 157 161]]

 [[ 34  37  35]
  [ 34  37  35]
  [ 34  37  35]
  ...
  [158 157 161]
  [158 157 161]
  [158 157 161]]

 [[ 34  37  35]
  [ 34  37  35]
  [ 34  37  35]
  ...
  [159 156 158]
  [159 156 158]
  [159 156 158]]]",shazahn padamsee,"Shazahn Padamsee is a multi-talented Indian film/stage actress and also a model. She was born to noted actors Alyque Padamsee and Sharon Prabhakar. She made her stage debut, alongside her father, in a play called ""Unspoken Dialogues"". Her first film appearance was in the 2009 Hindi film, Rocket ...                "
53,"[[[245  24  88]
  [245  24  88]
  [245  24  88]
  ...
  [255 217 255]
  [250 218 255]
  [248 218 255]]

 [[245  24  88]
  [245  24  88]
  [245  24  88]
  ...
  [255 217 255]
  [250 218 255]
  [248 218 255]]

 [[245  24  88]
  [245  24  88]
  [245  24  88]
  ...
  [255 218 255]
  [250 219 255]
  [248 219 255]]

 ...

 [[ 42   2   7]
  [ 42   2   7]
  [ 42   2   7]
  ...
  [ 14   1   3]
  [ 14   1   3]
  [ 14   1   3]]

 [[ 42   2   7]
  [ 42   2   7]
  [ 42   2   7]
  ...
  [ 14   1   3]
  [ 14   1   3]
  [ 14   1   3]]

 [[ 40   3   7]
  [ 40   3   7]
  [ 40   3   7]
  ...
  [ 11   0   2]
  [ 11   0   2]
  [ 12   1   3]]]",riteish deshmukh,"Riteish Deshmukh is an Indian actor, producer and architect who appears in Bollywood films. He is the son of Late. Vilasrao Deshmukh, the former Union Minister for Science, Technology and Earth Sciences, Government of India, and the former Chief Minister of Maharashtra. Riteish debuted with K. ...                "
54,"[[[ 42  63 115]
  [ 42  63 115]
  [ 42  63 115]
  ...
  [ 50  78 138]
  [ 50  78 138]
  [ 50  78 138]]

 [[ 42  63 115]
  [ 42  63 115]
  [ 42  63 115]
  ...
  [ 50  78 138]
  [ 50  78 138]
  [ 50  78 138]]

 [[ 42  63 115]
  [ 42  63 115]
  [ 42  63 115]
  ...
  [ 50  78 138]
  [ 50  78 138]
  [ 50  78 138]]

 ...

 [[  3  25  73]
  [  3  25  73]
  [  3  25  73]
  ...
  [ 28   8  20]
  [ 34  13  35]
  [ 37  15  40]]

 [[  3  25  73]
  [  3  26  72]
  [  3  25  73]
  ...
  [ 28   8  20]
  [ 34  14  33]
  [ 36  15  40]]

 [[  2  25  71]
  [  2  25  70]
  [  2  25  71]
  ...
  [ 24   7  16]
  [ 31  12  31]
  [ 34  16  39]]]",neil nitin mukesh,"He had a normal childhood, like most other children. He graduated from HR College, with a B.Com degree. At his father's insistence, he has been very focused on his career since he was in the 12th standard. He did a 4-month workshop with Kishore Namit Kapoor and also at Anupam Kher's institute, ...                "
55,"[[[ 50  49  58]
  [ 46  51  54]
  [ 39  50  48]
  ...
  [ 32  36  41]
  [ 32  36  41]
  [ 32  36  41]]

 [[ 45  43  49]
  [ 43  46  50]
  [ 41  52  49]
  ...
  [ 32  36  41]
  [ 32  36  41]
  [ 32  36  41]]

 [[ 31  27  32]
  [ 31  33  34]
  [ 34  41  38]
  ...
  [ 32  36  41]
  [ 32  36  41]
  [ 32  36  41]]

 ...

 [[  0   4   5]
  [  5  10  11]
  [  6  11  12]
  ...
  [ 68  89 150]
  [ 74  93 154]
  [ 78  97 158]]

 [[  0   4   7]
  [  6  11  12]
  [  7  12  15]
  ...
  [ 52  74 132]
  [ 59  79 136]
  [ 62  81 138]]

 [[  0   4   9]
  [  3  10  13]
  [  2   8  13]
  ...
  [ 45  68 124]
  [ 44  67 117]
  [ 42  64 112]]]",naseeruddin shah,"Naseeruddin Shah was born on July 20, 1950 in Barabanki, Uttar Pradesh, India. He is an actor, known for The League of Extraordinary Gentlemen (2003), A Wednesday (2008) and Jaane Bhi Do Yaaro (1983). He has been married to Ratna Pathak Shah since April 1, 1982. They have three children.                "
56,"[[[144 136 137]
  [169 161 162]
  [186 175 177]
  ...
  [132 179 210]
  [132 179 210]
  [132 179 210]]

 [[234 226 227]
  [255 249 250]
  [255 253 255]
  ...
  [132 179 210]
  [132 179 210]
  [132 179 210]]

 [[249 243 244]
  [255 254 255]
  [255 244 246]
  ...
  [132 179 210]
  [132 179 210]
  [132 179 210]]

 ...

 [[ 20  12  22]
  [ 22  14  24]
  [ 26  18  28]
  ...
  [ 12  10   9]
  [ 12  10   9]
  [ 12  10   9]]

 [[ 33  28  27]
  [ 30  25  24]
  [ 21  17  16]
  ...
  [ 12  10   9]
  [ 12  10   9]
  [ 12  10   9]]

 [[ 25  21  20]
  [ 25  21  20]
  [ 23  19  18]
  ...
  [ 11   9   9]
  [ 11   9   9]
  [ 11   9   9]]]",sharman joshi,"Sharman Joshi was born on April 28, 1979 in Bombay, Maharashtra, India. He is an actor, known for 3 Idiots (2009), Rang De Basanti (2006) and Golmaal: Fun Unlimited (2006). He has been married to Prerna Chopra since 2000. They have three children.                "
57,"[[[  9  10   8]
  [  9  10   8]
  [ 10  11   9]
  ...
  [ 10  10  10]
  [ 11  11  11]
  [ 12  12  12]]

 [[  9  10   8]
  [  9  10   8]
  [ 10  11   9]
  ...
  [  8   8   8]
  [  9   9   9]
  [ 11  11  11]]

 [[  9  10   8]
  [  9  10   8]
  [ 10  11   9]
  ...
  [  6   6   6]
  [  7   7   7]
  [  8   8   8]]

 ...

 [[ 41  33  33]
  [ 44  39  38]
  [ 47  42  41]
  ...
  [204 204 204]
  [221 221 221]
  [225 225 225]]

 [[ 41  33  33]
  [ 46  38  38]
  [ 44  39  38]
  ...
  [209 209 209]
  [220 220 220]
  [222 222 222]]

 [[ 47  36  38]
  [ 44  33  35]
  [ 39  31  32]
  ...
  [207 205 205]
  [221 219 219]
  [228 226 226]]]",paresh rawal,"Paresh Rawal was born on May 30, 1950 in Bombay, State of Bombay, India. He is a producer and actor, known for Hera Pheri (2000), OMG: Oh My God! (2012) and Hungama (2003). He is married to Swaroop Sampat. They have two children.                "
58,"[[[246 229 220]
  [246 229 220]
  [246 229 220]
  ...
  [ 31  36  39]
  [ 45  50  53]
  [ 51  56  59]]

 [[246 229 220]
  [246 229 220]
  [246 229 220]
  ...
  [ 27  32  35]
  [ 38  43  46]
  [ 43  48  51]]

 [[246 229 220]
  [246 229 220]
  [246 229 220]
  ...
  [ 22  27  30]
  [ 29  34  37]
  [ 31  36  39]]

 ...

 [[ 26  32  37]
  [ 96 102 107]
  [220 225 228]
  ...
  [ 68  46  41]
  [ 70  46  40]
  [ 70  46  40]]

 [[ 32  37  40]
  [139 144 147]
  [248 252 253]
  ...
  [ 68  46  41]
  [ 70  46  40]
  [ 70  46  40]]

 [[ 53  55  56]
  [214 216 217]
  [235 237 237]
  ...
  [ 71  46  42]
  [ 71  46  42]
  [ 70  45  41]]]",akshaye khanna,"Akshaye Khanna was born in Mumbai in 1975. He is the middle son of Bollywood actor and politician Vinod Khanna, and the younger brother of actor Rahul Khanna.After studying in Kishore Namit Kapoor Acting Institute in Mumbai, Khanna made his acting debut in Bollywood in 1997 with the movie Himalay ...                "
59,"[[[140 134 193]
  [142 136 195]
  [144 138 197]
  ...
  [238 238 244]
  [238 238 244]
  [238 238 244]]

 [[138 132 191]
  [139 133 192]
  [141 135 194]
  ...
  [240 240 246]
  [240 240 246]
  [240 240 246]]

 [[135 129 188]
  [136 130 189]
  [138 132 191]
  ...
  [242 242 248]
  [242 242 248]
  [242 242 248]]

 ...

 [[ 17  80 124]
  [ 21  80 125]
  [ 27  79 125]
  ...
  [ 48  86 134]
  [ 81 118 168]
  [115 152 202]]

 [[ 16  76 122]
  [ 17  76 122]
  [ 22  76 123]
  ...
  [ 38  77 122]
  [ 68 105 155]
  [103 140 190]]

 [[ 19  72 122]
  [ 20  73 123]
  [ 22  73 123]
  ...
  [ 27  61 107]
  [ 45  78 128]
  [ 80 115 165]]]",twinkle khanna,"Very few people have the privilege of being born on the same day as their mom or dad, Tina is one of them. She was born on 29 December 1974, and shares her date of birth with her dad, Jatin alias super-star Rajesh Khanna, born in 1942. Tina is the daughter of well-known Bollywood actress, Dimple ...                "
60,"[[[12 12 12]
  [12 12 12]
  [12 12 12]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[12 12 12]
  [12 12 12]
  [12 12 12]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[12 12 12]
  [12 12 12]
  [12 12 12]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 ...

 [[83 83 83]
  [83 83 83]
  [83 83 83]
  ...
  [29 29 29]
  [17 17 17]
  [29 29 29]]

 [[73 73 73]
  [75 75 75]
  [75 75 75]
  ...
  [30 30 30]
  [15 15 15]
  [15 15 15]]

 [[70 70 70]
  [61 61 61]
  [65 65 65]
  ...
  [37 37 37]
  [17 17 17]
  [12 12 12]]]",shriya saran,"Shriya Saran also known by the mononym Shriya, is an Indian film actress, model and presenter. She has worked in multiple of the regional industries of Indian cinema, including Hindi, Tamil, and Telugu language films, as well as a few films in English, Malayalam and Kannada. Saran made her film ...                "
61,"[[[142 238 254]
  [147 242 255]
  [158 246 255]
  ...
  [ 53  90  82]
  [ 53  90  82]
  [ 53  90  82]]

 [[134 232 250]
  [140 236 252]
  [151 241 255]
  ...
  [ 50  90  79]
  [ 52  89  81]
  [ 50  90  79]]

 [[122 223 245]
  [129 228 248]
  [139 234 254]
  ...
  [ 46  89  76]
  [ 48  88  77]
  [ 46  89  76]]

 ...

 [[  4   0   0]
  [  4   0   0]
  [  4   0   0]
  ...
  [  4   0   0]
  [  2   0   0]
  [  2   0   0]]

 [[  2   0   0]
  [  2   0   0]
  [  2   0   0]
  ...
  [  2   0   0]
  [  2   0   0]
  [  2   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]",mugdha godse,"Mugdha Godse was born on July 26, 1982 in Pune, Maharashtra, India. She is an actress and producer, known for Fashion (2008), Thani Oruvan (2015) and All the Best: Fun Begins (2009).                "
62,"[[[ 67  81  79]
  [ 67  81  79]
  [ 67  81  79]
  ...
  [213 225 227]
  [213 225 227]
  [213 225 227]]

 [[ 67  81  79]
  [ 67  81  79]
  [ 67  81  79]
  ...
  [213 225 227]
  [213 225 227]
  [213 225 227]]

 [[ 67  81  79]
  [ 67  81  79]
  [ 67  81  79]
  ...
  [213 225 227]
  [213 225 227]
  [213 225 227]]

 ...

 [[ 73  76  54]
  [ 75  78  56]
  [ 77  80  58]
  ...
  [ 26  31  30]
  [ 28  33  32]
  [ 34  39  38]]

 [[ 74  77  55]
  [ 75  78  56]
  [ 78  81  59]
  ...
  [ 26  31  30]
  [ 27  32  31]
  [ 34  39  38]]

 [[ 76  78  58]
  [ 77  79  59]
  [ 79  81  61]
  ...
  [ 31  36  35]
  [ 29  34  33]
  [ 34  39  38]]]",rajeev khandelwal,"Rajeev Khandelwal is an Indian film and television actor. Some of his most notable characters have been Dr. Aamir Ali in the 2008 debut film Aamir and ACP Arvind Mathur who battles his inner demons in Shaitan, the Tinnitus affected DJ from Soundtrack. He also played Vivaan Agasthi in the 2013 ...                "
63,"[[[218 201 182]
  [218 201 182]
  [222 202 185]
  ...
  [253 245 232]
  [253 245 232]
  [253 245 232]]

 [[221 204 185]
  [217 200 181]
  [218 198 181]
  ...
  [253 245 232]
  [253 245 232]
  [253 245 232]]

 [[225 209 192]
  [217 201 184]
  [214 196 179]
  ...
  [254 246 233]
  [254 246 233]
  [254 246 233]]

 ...

 [[188 193 184]
  [131 136 127]
  [ 22  27  18]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[115 127 121]
  [ 68  80  74]
  [ 45  55  49]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[109 133 133]
  [157 181 181]
  [ 93 115 113]
  ...
  [254 255 253]
  [254 255 253]
  [254 255 253]]]",omi vaidya,"Omi Vaidya is an actor and editor, known for 3 Idiots (2009), The Desert Rose (2007) and Resident Aliens. He has been married to Minal Patel since August 22, 2009.                "
64,"[[[192 216 214]
  [193 217 215]
  [195 219 217]
  ...
  [232 246 245]
  [232 246 245]
  [232 246 245]]

 [[195 219 217]
  [196 220 218]
  [197 221 219]
  ...
  [232 246 245]
  [232 246 245]
  [232 246 245]]

 [[200 224 222]
  [201 225 223]
  [202 226 224]
  ...
  [230 246 245]
  [230 246 245]
  [230 246 245]]

 ...

 [[ 15  29 135]
  [ 12  26 132]
  [ 12  26 132]
  ...
  [  9  10  54]
  [ 12  11  53]
  [ 11  11  51]]

 [[ 16  29 137]
  [ 10  24 130]
  [  9  23 129]
  ...
  [ 10  11  49]
  [ 11  13  47]
  [  9  12  43]]

 [[ 19  34 144]
  [ 10  26 133]
  [ 10  24 130]
  ...
  [ 12  14  49]
  [ 10  12  47]
  [  6  11  44]]]",aditi rao hydari,"Aditi Rao Hydari was born in 1986 in Hyderabad, from two royal lineages, that of Sir Akbar Hydari and J. Rameshwar Rao the erstwhile Raja of Wanaparthy.A classical Bharatanatyam dancer, she made her acting debut with Sharada Ramanathan's acclaimed film Sringaram and rose to fame after her ...                "
65,"[[[ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]
  ...
  [ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]]

 [[ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]
  ...
  [ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]]

 [[ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]
  ...
  [ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]]

 ...

 [[10 16 15]
  [ 9 14 13]
  [ 9 11 11]
  ...
  [21 16 17]
  [18 13 14]
  [19 14 15]]

 [[15 17 17]
  [13 15 15]
  [12 12 12]
  ...
  [22 17 18]
  [15 10 11]
  [14  9 10]]

 [[17 12 13]
  [16 11 12]
  [16 11 12]
  ...
  [19 14 16]
  [16 11 13]
  [15 10 12]]]",celina jaitly,"Celina Jaitly was born on 24th Nov 1981 in Shimla, India to a Punjabi Indian father and an Afghan mother. Her father Colonel V.K. Jaitly, is a retired Indian Army colonel, and her mother, Meeta, an Afghan is a child psychologist, as well as a beauty queen. Celina has one brother, who is currently ...                "
66,"[[[ 85  33  40]
  [ 84  32  39]
  [ 84  32  39]
  ...
  [178 105 175]
  [181 106 180]
  [185 110 184]]

 [[ 85  33  40]
  [ 84  32  39]
  [ 84  32  39]
  ...
  [179 105 177]
  [182 107 181]
  [186 111 185]]

 [[ 85  33  40]
  [ 84  32  39]
  [ 84  32  39]
  ...
  [180 106 178]
  [183 108 182]
  [187 112 188]]

 ...

 [[250 233 236]
  [244 230 232]
  [242 229 231]
  ...
  [255 254 255]
  [255 255 255]
  [255 255 254]]

 [[255 240 243]
  [250 231 234]
  [243 224 227]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 254]]

 [[255 248 250]
  [255 241 244]
  [253 234 237]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",mithun chakraborty,"Mithun Chakraborty was born on June 16, 1947 in Barisal, Bengal Presidency, British India as Gouranga Chakraborti. He is an actor, known for OMG: Oh My God! (2012), Vivekananda (1994) and Guru (2007). He has been married to Yogeeta Bali since July 1982. They have four children. He was previously ...                "
67,"[[[131 123  94]
  [131 123  94]
  [131 123  94]
  ...
  [137 131 102]
  [137 131 102]
  [137 131 102]]

 [[131 123  94]
  [131 123  94]
  [131 123  94]
  ...
  [137 131 102]
  [137 131 102]
  [137 131 102]]

 [[132 124  95]
  [132 124  95]
  [132 124  95]
  ...
  [138 132 103]
  [138 132 103]
  [138 132 103]]

 ...

 [[ 82  84  92]
  [ 80  82  90]
  [ 73  75  83]
  ...
  [116 108  79]
  [116 108  79]
  [116 108  79]]

 [[ 81  84  92]
  [ 85  88  96]
  [ 78  81  89]
  ...
  [115 107  78]
  [115 107  78]
  [115 107  78]]

 [[ 75  83  90]
  [ 84  92  99]
  [ 83  89  96]
  ...
  [113 105  75]
  [113 105  75]
  [113 105  75]]]",yami gautam,"She received IIFA - Star Debut of the Year Award and Zee Cine - Best Female Debut Award for Vicky Donor. She has acted in Total Siyappa and Action Jackson in 2014 and, Badlapur in 2015 against Varun Dhawan. All these movies performed well at the box office. She has also acted in Telugu Movie ...                "
68,"[[[ 29  38  65]
  [ 29  38  65]
  [ 29  38  65]
  ...
  [ 42  49  69]
  [ 42  49  69]
  [ 42  49  69]]

 [[ 29  38  65]
  [ 29  38  65]
  [ 29  38  65]
  ...
  [ 43  50  70]
  [ 43  50  70]
  [ 43  50  70]]

 [[ 29  38  65]
  [ 29  38  65]
  [ 29  38  65]
  ...
  [ 44  51  71]
  [ 44  51  71]
  [ 44  51  71]]

 ...

 [[167 162 163]
  [163 158 159]
  [160 154 155]
  ...
  [127 104 102]
  [125 102 100]
  [124 101  99]]

 [[130 125 126]
  [161 156 157]
  [162 156 157]
  ...
  [126 103 101]
  [124 101  99]
  [123 100  98]]

 [[113 108 109]
  [148 143 144]
  [173 167 168]
  ...
  [126 102 102]
  [124  98  98]
  [121  95  95]]]",ayushmann khurrana,"Ayushmann Khurrana was born on 14 September 1984 in Chandigarh, India. Ayushmann started off his career as a popular radio jockey, and eventually became a VJ on MTV India and one of the most popular hosts in India. He shot to stardom with the runaway hit, 'Vicky Donor' in 2012. His effortless act ...                "
69,"[[[ 53  41  35]
  [ 53  41  35]
  [ 53  41  35]
  ...
  [172 156 144]
  [172 156 144]
  [171 155 143]]

 [[ 56  44  38]
  [ 56  44  38]
  [ 56  44  38]
  ...
  [173 157 145]
  [173 157 145]
  [172 156 144]]

 [[ 60  48  42]
  [ 60  48  42]
  [ 60  48  42]
  ...
  [172 155 142]
  [172 155 142]
  [171 154 141]]

 ...

 [[ 77  59  48]
  [ 80  62  51]
  [ 83  65  54]
  ...
  [ 58  50  43]
  [ 60  52  45]
  [ 61  53  46]]

 [[ 82  64  53]
  [ 83  65  54]
  [ 84  66  55]
  ...
  [ 58  50  43]
  [ 59  51  44]
  [ 60  52  45]]

 [[ 78  60  49]
  [ 82  64  53]
  [ 86  68  57]
  ...
  [ 58  50  43]
  [ 58  50  43]
  [ 58  50  43]]]",ajay devgn,"Ajay Devgn is an Indian film actor, director, and producer. He made his film debut with Phool Aur Kaante in 1991 and received a Filmfare Award for Best Male Debut for his performance in the film. He then starred in films such as Jigar (1992), Dilwale (1994), Suhaag (1994), Naajayaz (1995), Diljale ...                "
70,"[[[248 248 248]
  [248 248 248]
  [248 248 248]
  ...
  [246 248 248]
  [246 248 248]
  [246 248 248]]

 [[248 248 248]
  [248 248 248]
  [248 248 248]
  ...
  [246 248 248]
  [246 248 248]
  [246 248 248]]

 [[248 248 248]
  [248 248 248]
  [248 248 248]
  ...
  [246 248 248]
  [246 248 248]
  [246 248 248]]

 ...

 [[212 214 214]
  [213 215 215]
  [215 217 217]
  ...
  [205 203 203]
  [205 203 203]
  [205 203 203]]

 [[212 214 214]
  [213 215 215]
  [215 217 217]
  ...
  [205 203 203]
  [205 203 203]
  [205 203 203]]

 [[210 212 212]
  [212 214 214]
  [215 217 217]
  ...
  [204 202 202]
  [204 202 202]
  [205 203 203]]]",kangana ranaut,"Kangana was born on 20 March 1987 in Bhambla, near Manali, which is in the Mandi district of Himachal Pradesh. Her dad's name is Amardeep, who is a businessman and contractor, her mom, Asha, is a school-teacher. She has two sisters, eldest one is Rangoli, and she has a brother, Akshit, who is about...                "
71,"[[[ 65  53  47]
  [ 63  51  45]
  [ 60  48  42]
  ...
  [238 203 177]
  [236 202 179]
  [235 201 178]]

 [[ 65  53  47]
  [ 63  51  45]
  [ 60  48  42]
  ...
  [234 201 175]
  [234 200 177]
  [233 199 176]]

 [[ 64  53  45]
  [ 62  51  43]
  [ 60  49  41]
  ...
  [230 197 171]
  [230 196 173]
  [227 195 172]]

 ...

 [[ 79  97 255]
  [ 69  90 252]
  [ 76  98 247]
  ...
  [ 82 107 253]
  [ 82 107 253]
  [ 82 107 253]]

 [[ 82 100 255]
  [ 72  93 252]
  [ 77 101 245]
  ...
  [ 82 107 253]
  [ 82 107 253]
  [ 82 107 253]]

 [[ 90 109 255]
  [ 77  98 249]
  [ 88 111 250]
  ...
  [ 81 105 254]
  [ 81 105 254]
  [ 82 106 255]]]",zayed khan,"Zayed Khan's parents are former Bollywood actor Sanjay Khan and interior designer Zarine Khan. Khan is the youngest of four children. His older sisters are Simone Khan (wife of Ajay Arora), Sussanne Roshan (married to actor Hrithik Roshan), and Farah Khan Ali (wife of DJ Aqeel). Khan is related as ...                "
72,"[[[213 205 198]
  [213 205 198]
  [214 206 199]
  ...
  [206 200 195]
  [206 200 195]
  [206 200 195]]

 [[213 205 198]
  [213 205 198]
  [214 206 199]
  ...
  [207 201 196]
  [207 201 196]
  [207 201 196]]

 [[213 205 198]
  [213 205 198]
  [214 206 199]
  ...
  [207 201 196]
  [207 201 196]
  [207 201 196]]

 ...

 [[ 32  31  27]
  [ 32  31  27]
  [ 32  31  27]
  ...
  [ 25  23  22]
  [ 27  25  24]
  [ 29  27  26]]

 [[ 32  31  27]
  [ 32  32  26]
  [ 32  31  27]
  ...
  [ 24  22  21]
  [ 26  24  23]
  [ 28  26  25]]

 [[ 29  29  23]
  [ 30  31  22]
  [ 32  32  26]
  ...
  [ 26  27  25]
  [ 28  29  27]
  [ 29  30  28]]]",sameera reddy,Sameera's versatility as an actress and a trained Indian classical dancer made her perfect for Bollywood films. She debuted in a music video that got her noticed and kick started her movie career as one of the top actresses in India and has appeared in over fifteen films in just four years. She has...                
73,"[[[191 186 187]
  [191 186 187]
  [191 186 187]
  ...
  [168 163 164]
  [168 163 164]
  [168 163 164]]

 [[191 186 187]
  [191 186 187]
  [191 186 187]
  ...
  [168 163 164]
  [168 163 164]
  [168 163 164]]

 [[191 186 187]
  [191 186 187]
  [191 186 187]
  ...
  [168 163 164]
  [168 163 164]
  [168 163 164]]

 ...

 [[ 62  54  54]
  [ 48  40  40]
  [ 54  46  46]
  ...
  [ 38  33  32]
  [ 39  34  33]
  [ 40  35  34]]

 [[ 70  62  62]
  [ 45  37  37]
  [ 50  42  42]
  ...
  [ 42  37  36]
  [ 37  32  31]
  [ 32  27  26]]

 [[ 54  47  44]
  [ 57  50  47]
  [ 60  53  50]
  ...
  [ 38  34  33]
  [ 43  39  38]
  [ 34  30  29]]]",ameesha patel,"Grand-daughter of Indian freedom fighter, lawyer and former Justice Rajni Patel, Amisha, a Gemini, was born in Bombay's Breach Candy Hospital. Her younger brother Ashmit Patel is also a Bollywood film actor and her name is a blend of the first three letters of her father's name Amit and the last ...                "
74,"[[[105 135 152]
  [107 137 154]
  [109 139 156]
  ...
  [109 136 150]
  [107 134 148]
  [105 132 146]]

 [[105 135 152]
  [107 137 154]
  [109 139 156]
  ...
  [111 138 152]
  [109 136 150]
  [107 134 148]]

 [[106 136 153]
  [107 137 154]
  [110 140 157]
  ...
  [113 140 154]
  [111 138 152]
  [109 136 150]]

 ...

 [[ 49  63  69]
  [ 48  62  68]
  [ 45  59  65]
  ...
  [ 80  93 101]
  [ 78  91  99]
  [ 76  89  97]]

 [[ 51  63  69]
  [ 48  62  68]
  [ 45  59  65]
  ...
  [ 80  93 101]
  [ 78  91  99]
  [ 76  89  97]]

 [[ 49  58  67]
  [ 48  59  67]
  [ 43  56  64]
  ...
  [ 77  89  95]
  [ 76  88  94]
  [ 76  88  94]]]",jaaved jaffery,"Jaaved Jaffery is an actor, known for The Forest (2009).                "
75,"[[[ 92  96  97]
  [ 64  69  72]
  [ 49  55  60]
  ...
  [ 29  74 118]
  [ 34  83 129]
  [ 35  87 133]]

 [[ 80  82  83]
  [ 50  54  55]
  [ 31  35  40]
  ...
  [ 29  74 118]
  [ 34  84 130]
  [ 35  87 133]]

 [[ 59  57  57]
  [ 48  47  49]
  [ 37  38  42]
  ...
  [ 30  75 119]
  [ 35  85 131]
  [ 35  90 135]]

 ...

 [[ 16   0   7]
  [ 15   1   7]
  [ 15   0   8]
  ...
  [ 27  30  51]
  [ 27  30  51]
  [ 25  28  49]]

 [[ 16   0   7]
  [ 15   1   7]
  [ 15   1   7]
  ...
  [ 12  13  33]
  [ 14  15  35]
  [ 13  14  34]]

 [[ 16   2   6]
  [ 16   2   6]
  [ 16   2   6]
  ...
  [ 23  25  43]
  [ 25  25  43]
  [ 25  25  43]]]",sanjay dutt,"Sanjay Dutt, son of Nargis and Sunil Dutt, was first featured in Rocky (1981), the movie was a box office hit.Sanjay's personal life was exacerbated by drug problems, and he later lost his wife Richa Sharma, to cancer. He was also arrested for having illegal weapons, and was imprisoned. After his ...                "
76,"[[[ 58  24  34]
  [ 57  25  36]
  [ 59  26  41]
  ...
  [ 17   4   2]
  [ 17   4   2]
  [ 17   4   2]]

 [[ 57  24  31]
  [ 56  25  34]
  [ 59  26  40]
  ...
  [ 17   4   2]
  [ 17   4   2]
  [ 17   4   2]]

 [[ 54  26  26]
  [ 55  26  29]
  [ 57  26  33]
  ...
  [ 17   4   2]
  [ 17   4   2]
  [ 17   4   2]]

 ...

 [[109 103  98]
  [139 135 130]
  [186 183 178]
  ...
  [163 179 168]
  [156 176 164]
  [231 253 241]]

 [[157 153 148]
  [ 95  91  86]
  [143 139 134]
  ...
  [158 172 161]
  [225 242 231]
  [187 207 195]]

 [[179 180 176]
  [134 133 129]
  [111 104 101]
  ...
  [215 228 220]
  [211 219 212]
  [152 160 153]]]",abhay deol,"Abhay Deol (born in 1976, India) is an Indian film actor. He is the nephew of famous veteran actor Dharmendra and cousin of actors Sunny Deol and Bobby Deol and actress Esha Deol. After graduating from Mumbai University, Abhay headed to Los Angeles and studied Fine Arts. After completing a two year...                "
77,"[[[  8   7  11]
  [  8   7  11]
  [  6   7  11]
  ...
  [110 111 145]
  [122 124 159]
  [129 131 166]]

 [[  8   7  11]
  [  8   7  11]
  [  6   7  11]
  ...
  [115 116 150]
  [127 129 164]
  [135 137 172]]

 [[  7   6  10]
  [  7   6  10]
  [  6   7  11]
  ...
  [118 119 153]
  [130 132 167]
  [138 140 175]]

 ...

 [[ 50  48  70]
  [ 64  62  84]
  [ 64  62  84]
  ...
  [ 61  72 110]
  [ 70  83 121]
  [ 67  80 118]]

 [[ 51  49  71]
  [ 65  63  85]
  [ 64  62  84]
  ...
  [ 62  73 111]
  [ 70  81 119]
  [ 61  72 110]]

 [[ 53  51  73]
  [ 68  66  88]
  [ 64  62  84]
  ...
  [ 81  92 130]
  [ 77  86 124]
  [ 55  64 102]]]",kalki koechlin,Kalki Koechlin was born to French parents in a small village in Pondicherry. Her parents had come to India as hippies in the 1970s and settled there after they fell in love with the country. Her parents are devotees of Sri Aurobindo.Kalki was studying in Ooty when her parents insisted that she ...                
